Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
398852605,a0089df851f318528573120c087d671adf4fff9aa3ce9e4ce15c4d581df86784,12/28/2023 05:49:25 PM,12/28/2023 06:25:54 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.629499,-73.947362,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947362 40.629499),POINT (-73.945851 40.62188)
398852475,f2c7d57abddbabdd7a9e0edbe9cc9ed12a492d4ef9561726705e83fb3071abf2,12/28/2023 12:14:15 PM,12/28/2023 12:36:40 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.646172,-73.952009,303937,ROGERS AV/AV D,40.641107,-73.95136,POINT (-73.952009 40.646172),POINT (-73.95136 40.641107)
398852368,142f59adefefb13b9f819abad910c42127db146273445dabd84a0b00c8fce08b,12/28/2023 04:55:53 PM,12/28/2023 05:16:02 PM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.629833,-73.947398,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947398 40.629833),POINT (-73.945851 40.62188)
398852335,b4776d2202e9bb95db01b58c88f0e13a7cb10e0b7f54e5736d66ab3bcac9a93f,12/28/2023 11:46:36 AM,12/28/2023 12:20:44 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.638266,-73.948192,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.948192 40.638266),POINT (-73.948517 40.640085)
398852228,e445e964edf43033388f1abb7a2b265a571e4514534e8daebefae04157916221,12/28/2023 03:27:43 PM,12/28/2023 03:49:25 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633941,-73.947786,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947786 40.633941),POINT (-73.948517 40.640085)
398852173,a0d177b4967a6d99f4ff117defe1c0d23d4e78ca4630febcb948ee9e4520eff3,12/28/2023 08:30:34 AM,12/28/2023 08:46:25 AM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.695469,-73.956313,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956313 40.695469),POINT (-73.955002 40.689351)
398852126,fa2b7af0a811b9acde602aacb78e3638e8506dfead5fe6c3425b10b526f94bdd,12/28/2023 07:55:07 AM,12/28/2023 08:21:03 AM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.696248,-73.956466,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956466 40.696248),POINT (-73.955002 40.689351)
398852114,1a1c98a5b2522ba2ae4dacd9f6f4183347d035c3d7c5fe7c930e7847f7ed11ca,12/28/2023 10:40:02 AM,12/28/2023 10:58:25 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.694687,-73.952413,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.952413 40.694687),POINT (-73.953484 40.699506)
398851901,2c175b2ba06acc1afc0ee588ca67eba8aa6e8b2720ff4fc78cc6235453e9729c,12/28/2023 02:23:37 PM,12/28/2023 02:31:55 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.637318,-73.951063,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.951063 40.637318),POINT (-73.947438 40.631827)
398851777,36373b65387dc1cb7e7833d9d0b4ed0cba290cd14c379cac60173673892b9c93,12/28/2023 08:51:27 AM,12/28/2023 08:59:41 AM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.671966,-73.950287,308435,NOSTRAND AV/FULTON ST,40.67997,-73.949642,POINT (-73.950287 40.671966),POINT (-73.949642 40.67997)
398851492,66f15283702800de2d1b74624f0c8107377bcbc13f51d3ab877f9840bd774cf3,12/28/2023 05:33:17 PM,12/28/2023 05:45:35 PM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.633657,-73.947753,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947753 40.633657),POINT (-73.948517 40.640085)
398851462,ab42d3cebccf8b9b13af4e92a7743068767091767ba1ddcc78cfd6051502a752,12/28/2023 10:59:36 AM,12/28/2023 11:19:05 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.65396,-73.949888,303469,NOSTRAND AV/CLARKSON AV,40.655011,-73.950113,POINT (-73.949888 40.65396),POINT (-73.950113 40.655011)
398851433,c4df7f6d4a10be0328eaa44989c883296711d0a5bc59628d55a8c5d0815e7a1d,12/28/2023 03:01:49 PM,12/28/2023 03:11:00 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.631889,-73.947557,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947557 40.631889),POINT (-73.947438 40.631827)
398851427,5d45d8d7ac99f5446af57614ef40e8e02401b22114a7b0602de718799218ea24,12/28/2023 08:23:03 AM,12/28/2023 08:33:16 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.69829,-73.956878,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956878 40.69829),POINT (-73.955002 40.689351)
398851334,c28427d59414de02d32103ae5bb41bdcf993b65837d5321f537c9b7049e97bce,12/28/2023 11:18:20 AM,12/28/2023 11:31:51 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.656256,-73.953089,303945,ROGERS AV/CLARKSON AV,40.65552,-73.952902,POINT (-73.953089 40.656256),POINT (-73.952902 40.65552)
398851306,5473c2d623fc6f663827d635eadcbba878f6158b20d72722ac518eeb893214d3,12/28/2023 04:33:23 PM,12/28/2023 04:59:53 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.633761,-73.947761,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947761 40.633761),POINT (-73.948517 40.640085)
398851277,d29d53701d3c859e29e1b90028eec1ca8e2f29439198b6e036c60951fb458aa1,12/28/2023 08:18:29 AM,12/28/2023 08:44:09 AM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.691803,-73.955583,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.955583 40.691803),POINT (-73.955002 40.689351)
