Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,route_id_left,Stop ID,Stop Name,geometry,index_right,route_id_right,direction,segment_number,speed,trips,dist_meters,longitude,latitude
349123632,4e4f90c582a92db98f9c640487fc7befb463ab79b4b4f3c186adcd7bdd166a59,01/06/2023 04:31:21 PM,01/06/2023 04:37:19 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,307905,NOSTRAND AV/GATES AV,POINT (-73.9497005 40.6809311666667),19,B44+,S,2,8.73438164052674,6736,1.1785740484898834e-05,-73.9497005,40.6809311666667
349123607,7809401ffbd3eab88b72c792bcd2d2d910981a9eab9008fbbb92ebb330af34d2,01/06/2023 04:29:12 PM,01/06/2023 04:43:30 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.9475721666667 40.6322435),16,B44+,N,4,8.170483654519208,145,4.7930602563723435e-05,-73.9475721666667,40.6322435
349123607,7809401ffbd3eab88b72c792bcd2d2d910981a9eab9008fbbb92ebb330af34d2,01/06/2023 04:29:12 PM,01/06/2023 04:43:30 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.9475721666667 40.6322435),13,B44+,N,1,8.985104512569402,6778,4.7930602563723435e-05,-73.9475721666667,40.6322435
349123594,179a205c00354ca51a6d59f68bbe959dc0bbfcb87bb28db7ee2fff5aa6706c62,01/06/2023 03:59:00 PM,01/06/2023 04:15:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9478115 40.63379333),19,B44+,S,2,8.73438164052674,6736,5.595362641152537e-05,-73.9478115,40.63379333
349123593,e23eef56529f6e338d4583d55837c9bff1acb688eb8ed46f07612154aa40d673,01/06/2023 04:13:57 PM,01/06/2023 04:35:08 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.94777 40.6346816666667),19,B44+,S,2,8.73438164052674,6736,6.913896824045049e-05,-73.94777,40.6346816666667
349123436,e6a9041ba617668e2c5cf5e93abbe2965d8c70233842a86002082a8e7f8670fc,01/06/2023 03:53:00 PM,01/06/2023 04:05:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303469,NOSTRAND AV/CLARKSON AV,POINT (-73.94960617 40.65058417),19,B44+,S,2,8.73438164052674,6736,5.0359917134928275e-05,-73.94960617,40.65058417
349123432,f21722edd7950b541694191a7dc9dfe543150b75e2b5b18b786c2e269fcaede0,01/06/2023 10:32:00 AM,01/06/2023 02:16:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.947735 40.63425),19,B44+,S,2,8.73438164052674,6736,6.0060352021572764e-05,-73.947735,40.63425
349119268,8ca91e182f848e8abb2f7b42c1b1063e31814b51ca7c1397e405275f32a962c6,01/06/2023 04:29:10 PM,01/06/2023 04:39:03 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.9475486666667 40.63222),16,B44+,N,4,8.170483654519208,145,6.850125567285335e-05,-73.9475486666667,40.63222
349119268,8ca91e182f848e8abb2f7b42c1b1063e31814b51ca7c1397e405275f32a962c6,01/06/2023 04:29:10 PM,01/06/2023 04:39:03 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.9475486666667 40.63222),13,B44+,N,1,8.985104512569402,6778,6.850125567285335e-05,-73.9475486666667,40.63222
349118913,ad2912ba6b360e024e6bc96b2c029c559a8879b570aaad0bc97ca3545052ffc4,01/06/2023 04:18:00 PM,01/06/2023 04:43:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303459,NOSTRAND AV/ST JOHNS PL,POINT (-73.9508385 40.66522917),19,B44+,S,2,8.73438164052674,6736,7.44118661973736e-05,-73.9508385,40.66522917
